Team,TeamID,Season,BT_AdjOE,BT_AdjDE,BT_Barthag,BT_AdjT,BT_EFG_O,BT_EFG_D,BT_OR_Pct,BT_DR_Pct,BT_FTR,BT_FTRD,BT_AdjNetEff
Tennessee Tech,1399.0,2026,102.304,117.712,0.166123,67.0515,48.9,51.5,31.3,30.7,19.1,15.1,-14.5088
NJIT,1312.0,2026,98.789,112.909,0.177068,68.1185,46.9,50.1,26.1,32.3,17.0,16.2,-11.407
North Alabama,1466.0,2026,100.477,118.608,0.129228,64.8153,48.0,55.2,31.2,32.2,17.5,14.5,-16.9789
Alabama A&M,1105.0,2026,105.711,117.367,0.230969,65.3641,49.4,52.4,27.4,29.6,16.5,16.7,-10.7012
Cal Baptist,1465.0,2026,108.116,101.244,0.680303,65.8504,48.4,46.1,38.1,27.4,18.1,16.9,-2.63388
Dartmouth,1171.0,2026,105.477,113.811,0.294307,69.4473,51.8,52.7,23.7,29.7,17.6,13.8,-11.39
La Salle,1247.0,2026,106.317,109.04,0.427795,65.4853,45.4,54.5,33.5,31.6,18.3,17.1,-13.7441
Tulsa,1409.0,2026,122.609,108.581,0.801758,67.8518,57.4,50.1,32.4,28.7,15.1,15.6,-0.470002
Incarnate Word,1230.0,2026,108.862,118.387,0.27595,65.4194,50.2,54.5,32.1,32.0,17.2,15.7,-13.6163
St. Thomas,1472.0,2026,114.501,108.536,0.649133,68.3791,59.4,50.9,22.3,27.1,13.8,17.1,-4.87386
Grand Canyon,1213.0,2026,110.908,97.387,0.816842,67.9111,51.6,47.3,31.6,25.3,17.7,17.4,-2.38325
Michigan St.,1277.0,2026,122.714,95.816,0.94508,65.8229,53.6,48.0,38.3,22.6,17.1,14.9,7.82805
Cal St. Fullerton,1168.0,2026,108.893,111.47,0.433164,72.6807,52.0,55.1,24.6,28.4,15.1,19.4,-8.63886
Southeastern Louisiana,1368.0,2026,99.755,110.497,0.235759,65.4035,46.7,52.4,28.6,31.4,18.4,19.1,-16.4692
UC Riverside,1415.0,2026,103.915,111.309,0.312059,68.483,48.9,52.7,27.8,30.0,19.0,15.5,-15.2176
Clemson,1155.0,2026,116.123,97.437,0.882635,64.3285,53.1,48.3,28.5,25.5,14.7,17.5,2.35357
Colorado,1160.0,2026,118.282,107.162,0.756838,68.638,53.1,53.0,29.1,29.5,14.6,15.6,-1.9482
Coastal Carolina,1157.0,2026,102.591,108.066,0.354832,67.0611,47.9,46.8,26.9,27.6,15.2,12.3,-8.7684
North Carolina A&T,1299.0,2026,105.168,117.638,0.216087,68.4846,50.7,52.9,31.7,28.6,18.6,14.1,-15.0116
Washington,1449.0,2026,117.097,102.628,0.820058,67.0973,51.4,49.9,34.3,28.6,15.5,14.4,-3.05504
Colorado St.,1161.0,2026,119.433,110.144,0.717309,62.8746,58.9,53.2,30.1,28.9,18.5,15.0,-2.60151
UMBC,1420.0,2026,107.613,109.703,0.444943,66.0029,53.7,49.5,24.7,25.0,14.3,15.2,-5.1379
Louisiana Monroe,1419.0,2026,101.505,122.624,0.102139,70.2509,47.8,57.1,25.1,35.4,16.9,15.7,-23.0748
The Citadel,1154.0,2026,100.675,120.998,0.107689,64.1599,49.5,57.5,27.9,31.5,16.3,14.7,-18.3259
Hofstra,1220.0,2026,113.828,105.359,0.708692,64.69,51.7,45.8,34.7,30.8,16.1,15.1,-4.59005
UMass Lowell,1262.0,2026,103.172,116.7,0.195157,69.3082,50.1,53.2,32.4,29.2,18.0,14.4,-12.7449
South Alabama,1375.0,2026,107.548,109.659,0.444337,64.617,52.7,50.0,25.2,31.3,13.2,18.2,-7.38603
Butler,1139.0,2026,117.637,106.217,0.763937,68.8779,50.9,51.5,34.9,30.2,16.1,15.2,-3.56126
SIU Edwardsville,1188.0,2026,99.5968,106.719,0.311252,64.4102,49.5,45.6,30.1,31.6,17.9,17.0,-10.5405
Northern Colorado,1294.0,2026,112.698,110.401,0.558923,68.4921,55.7,50.1,27.2,24.2,15.4,12.4,-6.94491
Iowa,1234.0,2026,122.468,100.657,0.905122,63.0325,56.3,52.5,30.3,27.8,15.1,21.0,1.90083
Florida A&M,1197.0,2026,100.089,110.586,0.241047,67.9118,49.3,51.6,30.6,30.4,21.4,18.9,-10.8215
TCU,1395.0,2026,114.263,99.6027,0.829081,67.4728,50.9,51.3,34.1,28.8,15.6,20.1,2.2673
Middle Tennessee,1292.0,2026,110.215,108.744,0.538541,65.3344,51.6,50.8,30.6,28.3,16.9,15.0,-7.87479
Oregon,1332.0,2026,112.784,103.807,0.721898,65.9905,49.7,51.0,32.7,32.1,17.8,15.7,-5.56889
Harvard,1217.0,2026,107.126,106.455,0.518065,63.1842,53.5,50.7,26.7,28.7,17.2,17.3,-6.56182
Florida,1196.0,2026,127.146,92.3879,0.975214,70.6238,54.0,46.0,42.7,24.8,16.1,15.4,8.13375
Saint Joseph's,1386.0,2026,108.886,101.467,0.692435,68.184,49.4,47.4,31.2,30.9,16.9,15.2,-3.59226
Saint Mary's,1388.0,2026,119.861,98.0463,0.909721,65.4367,53.0,46.3,37.6,23.7,16.4,15.4,4.51696
Texas A&M Corpus Chris,,2026,104.772,106.233,0.460266,66.0395,49.2,50.1,31.9,29.2,19.1,19.3,-8.22825
Ohio St.,1326.0,2026,125.376,102.677,0.908621,66.3764,56.8,50.1,31.1,30.2,15.5,15.8,2.33153
Florida St.,1199.0,2026,117.599,104.065,0.803132,70.6892,51.6,52.0,31.3,33.1,15.4,18.9,-1.94702
Seton Hall,1371.0,2026,108.857,96.8837,0.792495,65.095,47.8,47.3,35.9,32.1,16.9,21.8,-0.306481
North Carolina,1314.0,2026,122.076,100.459,0.9039,67.7806,54.5,47.9,31.5,28.6,14.0,13.7,5.38993
Houston Christian,1223.0,2026,102.141,114.496,0.211957,64.0622,49.7,54.2,29.9,32.5,18.9,17.6,-14.8592
Lehigh,1250.0,2026,103.014,113.706,0.243132,66.96,53.3,50.9,22.2,31.7,17.7,16.3,-11.9409
Navy,1298.0,2026,107.086,105.742,0.536238,65.1291,53.2,48.0,31.6,26.9,16.8,18.3,-4.10245
Saint Francis,,2026,101.328,122.817,0.0987,69.9635,48.9,58.9,27.5,33.1,18.4,18.4,-19.3197
Santa Clara,1365.0,2026,124.498,103.731,0.890768,69.8218,54.9,51.5,36.7,32.0,15.9,20.4,1.87597
Loyola Marymount,1258.0,2026,107.019,106.134,0.523843,67.1438,51.8,48.9,26.7,32.0,17.5,16.6,-9.99949
Delaware,1174.0,2026,106.08,115.543,0.272372,63.069,53.3,51.5,20.8,31.1,18.2,14.0,-15.9999
Miami OH,1275.0,2026,117.13,107.367,0.731222,70.0662,59.2,50.7,25.2,27.4,14.5,17.5,3.43955
New Mexico,1307.0,2026,116.745,102.263,0.821002,70.0241,53.7,49.6,29.5,27.5,15.2,19.1,0.031514
Coppin St.,1164.0,2026,92.4746,120.135,0.0470043,68.4971,45.9,55.4,30.4,34.8,22.3,17.5,-19.1135
Temple,1396.0,2026,112.836,111.039,0.546038,64.9734,50.5,50.5,29.9,30.2,13.7,15.2,-9.30044
Monmouth,1284.0,2026,106.683,107.062,0.489822,66.8581,49.6,50.2,31.5,32.5,16.7,20.0,-9.07251
Southern,1380.0,2026,106.314,113.04,0.330588,70.2726,48.9,53.2,31.0,31.6,16.5,18.7,-10.0493
Southern Miss,1379.0,2026,104.951,109.367,0.383687,69.0933,49.0,51.4,32.5,28.8,18.4,17.8,-10.8852
California,1143.0,2026,113.566,101.684,0.780895,67.882,51.9,49.0,25.2,30.5,14.9,16.3,-0.0570477
Georgia St.,1209.0,2026,100.047,112.413,0.207478,67.9112,44.2,50.6,27.7,33.6,15.9,16.4,-17.5699
Miami FL,1274.0,2026,121.429,101.989,0.881463,68.0921,56.2,51.3,37.6,25.8,16.5,18.4,3.30066
Georgia,1208.0,2026,125.645,105.616,0.880478,71.8976,55.0,50.0,35.2,35.2,14.3,18.4,3.18644
North Dakota,1315.0,2026,107.486,115.988,0.294125,67.3102,49.4,56.5,27.4,32.4,14.1,19.4,-11.2131
Princeton,1343.0,2026,105.718,112.616,0.325878,63.757,49.6,52.0,27.2,28.5,17.1,14.3,-14.6985
Saint Louis,1387.0,2026,120.65,102.602,0.865694,70.9752,60.1,44.7,31.7,26.7,17.2,16.4,2.27456
Arizona St.,1113.0,2026,116.757,103.312,0.803273,69.178,51.2,52.3,29.9,34.6,16.4,18.7,-1.32476
Purdue Fort Wayne,1236.0,2026,105.403,113.717,0.294611,67.6967,52.6,56.1,22.9,34.5,14.5,19.1,-9.18093
Iona,1233.0,2026,104.367,111.035,0.329107,69.1184,51.9,48.9,27.8,31.2,17.2,16.6,-10.2966
Stetson,1391.0,2026,105.704,118.328,0.214604,66.7377,53.1,55.2,26.6,31.8,18.1,15.1,-15.8113
Marshall,1267.0,2026,112.616,116.182,0.411304,69.3751,54.8,50.3,31.9,33.8,16.6,16.3,-8.39036
Eastern Michigan,1185.0,2026,102.145,108.137,0.341742,66.3944,49.6,50.3,27.8,29.1,17.4,15.6,-14.5418
Niagara,1310.0,2026,100.516,117.669,0.140416,62.1638,50.5,52.8,24.8,32.9,18.9,16.6,-18.2143
Campbell,1144.0,2026,111.185,112.912,0.455823,69.8109,50.1,53.9,33.5,32.0,17.6,17.0,-10.7693
Mercer,1273.0,2026,111.564,114.458,0.426894,68.9191,53.1,52.5,32.6,33.2,15.0,17.0,-8.3804
Lindenwood,1473.0,2026,100.89,109.072,0.289719,72.3707,48.0,49.1,33.2,31.8,18.7,18.4,-11.0498
St. Bonaventure,1382.0,2026,113.458,113.853,0.490009,67.0735,52.2,54.0,34.7,29.2,16.9,17.0,-9.51382
Oregon St.,1333.0,2026,109.814,109.736,0.502027,65.1713,50.5,50.3,26.8,32.1,17.7,15.3,-7.39373
Lipscomb,1252.0,2026,105.753,111.622,0.349523,69.4167,54.1,53.2,25.8,30.2,16.0,17.7,-7.68419
Kennesaw St.,1244.0,2026,110.51,110.382,0.503346,71.5155,50.5,49.1,35.4,30.2,16.8,15.9,-8.35655
James Madison,1241.0,2026,109.627,112.837,0.417802,65.9222,53.1,49.0,30.6,29.5,17.3,12.8,-10.2096
Georgetown,1207.0,2026,114.807,104.977,0.736789,66.4721,49.9,50.3,32.0,31.7,15.5,16.4,-5.49384
USC Upstate,1367.0,2026,99.6431,111.304,0.218795,67.5583,48.3,51.0,29.2,31.4,18.2,16.4,-14.115
Morgan St.,1288.0,2026,99.9621,121.831,0.0931979,70.5017,46.3,52.0,30.8,35.2,18.1,16.5,-12.0233
New Hampshire,1306.0,2026,96.4498,116.478,0.102494,67.3603,46.7,53.4,25.7,26.9,16.5,15.8,-16.279
Iowa St.,1235.0,2026,122.774,94.8535,0.951066,67.1574,56.3,49.8,35.4,28.3,15.1,22.4,6.36113
Alcorn St.,1108.0,2026,98.0879,117.015,0.116184,68.0369,47.9,55.6,27.2,35.8,19.6,18.3,-15.618
Purdue,1345.0,2026,131.606,101.527,0.951853,64.9502,57.9,52.3,35.9,26.0,13.8,15.9,6.54687
Drake,1179.0,2026,110.001,113.818,0.403153,67.0751,51.4,52.6,26.6,29.9,15.0,14.6,-13.4565
Marquette,1266.0,2026,112.145,101.702,0.75474,69.0064,50.5,50.3,29.6,35.1,16.2,19.5,-6.80636
Holy Cross,1221.0,2026,101.275,118.212,0.144506,65.4249,49.8,54.8,21.9,27.0,15.3,14.1,-18.0674
Houston,1222.0,2026,125.852,93.6785,0.967557,63.4002,52.3,46.9,36.0,31.0,12.7,21.4,7.84635
Hampton,1214.0,2026,101.271,112.935,0.222065,65.3997,45.7,52.0,32.9,30.0,17.0,17.2,-14.4858
Western Michigan,1444.0,2026,107.765,117.992,0.260626,67.7369,49.9,54.4,30.5,29.1,16.9,13.4,-15.2313
New Mexico St.,1308.0,2026,109.976,112.247,0.441506,66.5491,49.0,49.1,32.8,30.0,14.8,14.6,-10.6265
Ball St.,1123.0,2026,99.701,108.84,0.267249,63.5924,47.0,52.7,27.1,31.0,16.2,18.7,-14.5038
Milwaukee,1454.0,2026,106.393,115.516,0.279679,67.5877,49.9,55.5,33.0,29.2,15.2,15.8,-13.4503
Portland,1339.0,2026,106.84,108.743,0.449412,68.456,51.2,52.7,28.1,32.5,19.7,17.0,-10.3403
Albany,1107.0,2026,104.191,118.257,0.189026,65.2244,51.3,53.2,32.7,32.4,18.5,15.8,-17.198
Tarleton St.,1470.0,2026,103.943,107.705,0.39918,69.3028,48.4,53.5,31.6,35.6,20.1,23.5,-10.8662
San Francisco,1362.0,2026,113.79,109.831,0.600428,65.8467,51.2,50.8,31.3,29.0,15.8,14.1,-6.90068
Bucknell,1137.0,2026,99.5078,114.624,0.164331,67.0132,48.5,54.7,27.0,31.3,19.0,17.9,-18.0762
Connecticut,1163.0,2026,123.861,95.5361,0.951939,65.0117,55.6,45.6,34.9,28.6,16.5,18.3,8.47254
New Haven,1481.0,2026,96.7375,112.042,0.155897,63.3287,48.7,51.8,21.5,26.8,17.8,17.1,-13.0396
Southern Indiana,1475.0,2026,96.5606,114.788,0.120407,67.7172,43.7,49.4,31.4,33.8,17.2,16.4,-20.2331
Florida Gulf Coast,1195.0,2026,105.783,112.137,0.338306,67.5858,52.0,53.4,31.1,28.2,15.9,16.5,-13.2836
San Jose St.,1363.0,2026,112.136,117.476,0.36936,64.8018,49.3,57.4,29.6,36.1,15.3,17.5,-13.6439
Utah Valley,1430.0,2026,113.28,104.34,0.720179,68.9489,55.3,49.1,35.2,31.6,20.2,21.4,-1.95534
Missouri,1281.0,2026,120.375,103.584,0.849116,66.3008,55.5,51.4,35.5,31.6,17.8,16.7,1.51657
Cincinnati,1153.0,2026,113.583,94.8429,0.888305,67.7416,50.7,48.0,30.9,27.0,16.9,18.6,-1.63782
South Dakota St.,1355.0,2026,108.113,112.436,0.389149,66.9755,52.0,51.8,30.3,25.1,16.1,14.5,-12.5985
Boston University,1131.0,2026,112.832,119.27,0.345668,63.186,58.1,53.7,27.8,27.6,17.8,13.1,-12.6438
Air Force,1102.0,2026,97.2052,114.801,0.128606,66.128,49.6,56.6,21.4,31.1,21.8,15.0,-19.4766
Bradley,1133.0,2026,111.381,108.536,0.573866,67.5104,51.0,52.6,27.3,28.2,13.8,19.3,-5.83857
Troy,1407.0,2026,111.425,109.586,0.547702,65.0402,51.9,50.1,34.8,31.6,17.0,16.9,-6.02081
Gonzaga,1211.0,2026,120.17,94.2528,0.942332,69.2437,56.1,46.2,34.8,25.1,13.7,20.6,6.80673
South Florida,1378.0,2026,117.747,103.248,0.819229,71.4417,51.0,48.9,38.2,31.7,15.2,18.7,-0.638076
Stonehill,1476.0,2026,92.7789,108.735,0.138835,66.3604,46.9,47.8,27.5,27.1,19.4,13.4,-17.4481
Loyola MD,1259.0,2026,104.144,119.739,0.16733,68.1699,50.4,54.7,27.6,29.0,15.5,15.3,-16.6619
Belmont,1125.0,2026,120.732,109.578,0.753014,68.9608,61.0,49.9,28.8,29.2,18.1,17.4,-0.458268
Siena,1373.0,2026,108.14,110.288,0.443699,64.5692,50.8,48.9,31.5,29.5,15.8,17.3,-7.75176
Southern Utah,1381.0,2026,107.553,115.515,0.305489,70.286,51.0,53.9,28.9,33.2,20.3,14.9,-14.5516
N.C. State,1301.0,2026,123.314,104.117,0.875004,69.0134,55.1,52.5,28.6,30.5,13.2,18.3,0.307555
Pittsburgh,1338.0,2026,111.913,105.541,0.662421,63.7845,50.8,52.7,33.5,28.4,17.4,16.4,-7.05518
Furman,1202.0,2026,107.542,109.379,0.451445,65.8282,54.8,50.1,31.0,27.5,17.8,13.7,-8.57575
Massachusetts,1269.0,2026,110.634,111.251,0.484027,70.3335,53.3,52.3,32.7,26.5,17.9,16.9,-10.8106
Mount St. Mary's,1291.0,2026,99.676,108.618,0.271303,67.7893,50.6,47.2,32.3,29.1,22.4,15.3,-12.355
Bryant,1136.0,2026,97.2603,120.367,0.0793433,64.2002,46.9,52.7,27.7,31.0,20.2,14.6,-17.7967
Syracuse,1393.0,2026,115.957,105.189,0.754127,67.4058,52.6,50.1,29.2,33.1,15.9,17.6,-4.01961
Jacksonville St.,1240.0,2026,106.369,108.454,0.444404,65.0908,49.6,49.8,30.0,27.9,16.9,16.2,-11.8679
McNeese St.,1270.0,2026,113.805,103.839,0.741514,66.2694,51.1,49.0,35.0,35.9,14.2,24.7,0.37321
Quinnipiac,1346.0,2026,104.432,108.434,0.393541,70.0604,48.2,48.9,34.1,32.0,15.9,17.4,-8.49004
Rhode Island,1348.0,2026,104.823,103.381,0.539743,66.0176,50.0,50.7,31.0,31.6,19.1,21.6,-8.48304
Detroit Mercy,1178.0,2026,110.028,112.095,0.44669,68.85,49.9,52.5,33.4,30.7,16.0,14.4,-8.84853
Sam Houston St.,1358.0,2026,115.56,108.866,0.665124,70.1252,53.1,51.2,35.4,29.8,16.7,16.1,-4.52363
East Tennessee St.,1190.0,2026,108.559,110.381,0.4523,66.0038,55.3,51.0,28.3,27.9,15.2,18.5,-7.28716
Duquesne,1182.0,2026,111.033,107.397,0.594583,69.3106,52.7,52.4,30.1,29.6,17.9,18.2,-6.97084
Virginia Tech,1439.0,2026,117.9,103.271,0.821053,67.1743,52.4,50.6,31.2,32.8,14.9,17.4,-0.203676
North Carolina Central,1300.0,2026,100.389,123.374,0.0854226,66.3805,47.3,55.5,29.1,39.0,18.2,19.7,-12.1974
North Dakota St.,1295.0,2026,112.163,106.684,0.640116,66.3565,53.4,51.5,33.6,25.7,15.6,18.7,-3.24051
Northwestern St.,1322.0,2026,101.342,113.316,0.216821,64.7334,48.6,53.0,26.1,32.6,18.3,16.9,-16.105
Fairfield,1193.0,2026,106.089,113.579,0.313341,67.0547,48.8,51.0,35.8,29.1,15.3,16.8,-9.7835
Arkansas,1116.0,2026,128.381,102.414,0.93078,71.1101,56.7,51.5,32.2,31.7,12.3,16.1,5.838
Cal St. Bakersfield,,2026,102.076,117.86,0.160647,70.047,45.7,54.0,30.4,35.6,18.9,17.9,-18.0671
George Washington,1203.0,2026,117.907,107.943,0.734057,69.3531,54.9,52.2,36.4,28.8,18.0,18.0,-7.19846
UNC Asheville,1421.0,2026,104.512,111.816,0.315002,64.7909,51.0,51.3,29.8,31.3,17.4,15.5,-12.5239
Dayton,1173.0,2026,111.398,101.285,0.749226,67.1998,52.3,50.9,26.9,30.2,17.5,21.5,-1.60424
Stephen F. Austin,1372.0,2026,114.105,104.062,0.742605,65.8883,52.1,47.3,34.9,28.5,14.1,17.2,-0.314074
Arkansas St.,1117.0,2026,110.392,109.095,0.533947,72.094,51.7,50.3,38.2,27.0,19.8,14.9,-7.1714
Army,1119.0,2026,100.578,119.059,0.125657,67.1283,49.3,55.1,29.6,27.7,17.2,15.4,-17.2484
Oakland,1324.0,2026,114.243,115.401,0.471044,69.9443,52.7,54.7,31.3,34.4,14.7,15.1,-8.27023
Southeast Missouri St.,,2026,101.724,108.641,0.319389,68.9261,49.8,48.8,29.6,28.2,16.9,18.1,-9.18462
Binghamton,1127.0,2026,99.033,123.314,0.074348,65.4845,50.0,54.3,20.9,29.4,18.8,13.3,-20.3647
George Mason,1206.0,2026,112.08,106.891,0.633012,63.5798,53.3,49.5,31.1,28.5,15.9,15.8,-2.00023
Old Dominion,1330.0,2026,106.796,112.908,0.345257,68.8901,50.7,50.8,26.0,30.3,15.4,14.5,-15.2861
Green Bay,1453.0,2026,113.693,114.881,0.470168,62.94,54.9,53.6,25.1,29.6,16.0,13.2,-9.50056
UNC Greensboro,1422.0,2026,108.57,119.682,0.24589,67.6622,52.0,56.2,28.1,29.0,15.0,13.7,-15.0188
Little Rock,1114.0,2026,101.871,117.19,0.166448,66.4642,49.4,51.8,31.5,36.6,18.4,18.5,-16.2532
Austin Peay,1122.0,2026,109.198,108.642,0.514657,69.2157,53.0,52.2,29.7,28.9,15.4,17.9,-5.20405
Rutgers,1353.0,2026,111.839,107.527,0.611142,66.4267,47.4,53.1,30.1,33.3,15.0,17.0,-5.45852
Nicholls St.,1311.0,2026,105.356,112.48,0.320297,68.2188,50.6,54.4,28.1,33.7,17.4,20.5,-12.6588
Sacramento St.,1170.0,2026,106.059,114.689,0.289123,71.707,47.0,55.0,25.2,33.4,14.1,17.1,-14.6219
William & Mary,1456.0,2026,111.047,110.456,0.515348,72.6298,54.3,51.9,26.0,31.5,16.5,19.0,-6.98897
Colgate,1159.0,2026,108.077,115.157,0.325259,66.8221,53.3,52.2,26.6,29.3,14.6,15.3,-9.86818
USC,1425.0,2026,113.66,102.188,0.772698,70.6589,50.4,49.8,32.7,32.6,17.4,16.4,-0.281099
Merrimack,1467.0,2026,107.768,106.815,0.525504,63.4326,49.5,46.8,25.2,39.8,15.0,20.3,-5.26428
UNLV,1424.0,2026,116.456,110.396,0.648995,70.0995,53.5,52.9,30.9,31.1,16.6,17.6,-5.81228
Illinois St.,1229.0,2026,109.679,103.856,0.651892,66.8016,53.6,50.0,28.6,25.3,16.8,16.4,-5.65119
Manhattan,1264.0,2026,104.222,122.08,0.139581,67.9665,47.9,53.9,28.6,37.0,15.6,16.7,-16.1296
Utah,1428.0,2026,115.007,110.131,0.622039,66.347,52.4,54.0,29.4,31.6,16.9,13.4,-8.47656
Louisiana Tech,1256.0,2026,102.549,105.416,0.421371,64.1545,47.7,48.6,35.9,31.1,18.8,18.0,-8.61933
Youngstown St.,1464.0,2026,106.908,109.06,0.442947,67.2365,53.7,52.3,30.4,30.7,18.8,17.8,-12.5198
Jacksonville,1239.0,2026,103.974,114.225,0.253251,63.4954,50.0,54.8,31.7,29.1,17.2,15.0,-14.7437
Tennessee St.,1398.0,2026,108.564,112.472,0.399701,70.1106,50.1,51.2,34.9,29.9,16.5,20.0,-5.52861
Stanford,1390.0,2026,117.824,104.463,0.799662,67.1427,51.6,51.4,32.5,29.3,15.5,18.4,-0.0663233
Longwood,1255.0,2026,103.767,112.124,0.290957,68.4676,49.7,53.8,34.6,27.7,19.1,19.8,-12.6323
Sacred Heart,1357.0,2026,107.573,118.968,0.239054,68.3837,52.0,53.5,28.6,30.9,17.7,14.5,-15.0492
Western Kentucky,1443.0,2026,108.205,108.07,0.50358,69.7554,47.3,51.0,31.8,29.4,14.4,17.4,-7.62883
UT Arlington,1426.0,2026,102.202,103.528,0.462995,64.8986,47.6,47.4,34.8,30.2,21.1,17.9,-7.27892
Fordham,1200.0,2026,104.241,104.828,0.48386,64.2242,48.5,49.8,34.8,26.6,17.2,17.1,-8.6643
Alabama St.,1106.0,2026,100.154,112.206,0.213021,69.1857,47.1,52.2,31.9,31.5,18.3,18.7,-16.4863
Wichita St.,1455.0,2026,112.12,103.222,0.721299,66.3773,49.6,47.5,38.5,29.1,14.8,16.1,-3.44202
Texas Tech,1403.0,2026,127.45,99.5575,0.944818,66.4098,56.6,49.1,33.8,30.2,15.9,14.7,5.19146
Boise St.,1129.0,2026,119.013,103.899,0.826617,65.5049,52.6,52.5,33.0,23.6,16.9,14.8,-1.15776
