Season,TeamName,Composite,NumCommits,Rank,TeamID
2026,Duke,69.16,4,1,1181.0
2026,Michigan State,67.31,4,2,1277.0
2026,Kansas,65.89,4,3,1242.0
2026,Michigan,65.61,5,4,1276.0
2026,Arkansas,65.45,3,5,1116.0
2026,Maryland,64.95,4,6,1268.0
2026,Purdue,64.49,4,7,1345.0
2026,Florida State,64.04,5,8,1199.0
2026,Alabama,63.81,3,9,1104.0
2026,Missouri,63.04,3,10,1281.0
2026,Texas,62.44,4,11,1400.0
2026,Pittsburgh,62.22,3,12,1338.0
2026,Oklahoma State,60.56,3,13,1329.0
2026,BYU,60.16,5,14,1140.0
2026,Vanderbilt,60.03,3,15,1435.0
2026,Stanford,59.49,4,16,1390.0
2026,Mississippi State,59.0,3,17,1280.0
2026,Iowa State,58.86,4,18,1235.0
2026,Indiana,58.82,3,19,1231.0
2026,Gonzaga,57.51,3,20,1211.0
2026,Illinois,56.8,3,21,1228.0
2026,West Virginia,56.33,3,22,1452.0
2026,LSU,56.3,3,23,1261.0
2026,Tennessee,54.83,3,24,1397.0
2026,North Carolina,53.2,3,25,1314.0
2026,USC,52.91,2,26,1425.0
2026,Houston,52.23,2,27,1222.0
2026,UConn,51.84,2,28,1163.0
2026,Clemson,50.89,3,29,1155.0
2026,Georgia Tech,50.66,3,30,1210.0
2026,Minnesota,50.53,3,31,1278.0
2026,Ohio State,49.04,2,32,1326.0
2026,Nebraska,48.27,2,33,1304.0
2026,Wake Forest,47.54,2,34,1448.0
2026,VCU,47.24,2,35,1433.0
2026,Oregon,47.21,2,36,1332.0
2026,Creighton,46.92,2,37,1166.0
2026,Xavier,46.62,3,38,1462.0
2026,NC State,46.26,2,39,1301.0
2026,Notre Dame,45.87,3,40,1323.0
2026,Colorado State,45.83,3,41,1161.0
2026,Georgetown,45.46,3,42,1207.0
2026,Marquette,43.55,3,43,1266.0
2026,Northwestern,43.37,2,44,1321.0
2026,UCF,42.69,2,45,1416.0
2026,Nevada,39.33,3,46,1305.0
2026,Stephen F. Austin,39.0,3,47,1372.0
2026,Loyola,38.44,2,48,
2026,Ole Miss,38.06,2,49,1279.0
2026,Louisiana,37.8,2,50,1418.0
2026,San Francisco,37.42,2,51,1362.0
2026,North Texas,37.03,2,52,1317.0
2026,George Mason,36.91,2,53,1206.0
2026,Austin Peay,36.89,3,54,1122.0
2026,Fordham,36.31,3,55,1200.0
2026,Western Kentucky,36.21,3,56,1443.0
2026,Liberty,34.81,2,57,1251.0
2026,Drake,32.36,2,58,1179.0
2026,Omaha,32.26,3,59,1303.0
2026,Louisiana Tech,31.62,4,60,1256.0
2026,Miami,29.53,1,61,
2026,Valparaiso,29.21,2,62,1434.0
2026,Texas Tech,28.72,1,63,1403.0
2026,Arizona,28.71,1,64,1112.0
2026,Baylor,28.64,1,65,1124.0
2026,New Mexico State,28.51,3,66,1308.0
2026,Cincinnati,28.01,1,67,1153.0
2026,Providence,27.98,1,68,1344.0
2026,Texas A&M,27.56,1,69,1401.0
2026,South Carolina,27.41,1,70,1376.0
2026,Oklahoma,27.38,1,71,1328.0
2026,Southern Illinois,27.33,3,72,1356.0
2026,Boston College,26.66,1,73,1130.0
2026,Princeton,26.44,2,74,1343.0
2026,Indiana State,26.28,2,75,1232.0
2026,Florida Atlantic,26.2,1,76,1194.0
2026,Colorado,25.28,1,77,1160.0
2026,Rhode Island,25.11,1,78,1348.0
2026,East Carolina,24.78,1,79,1187.0
2026,Pennsylvania,24.61,3,80,1335.0
2026,Toledo,24.61,2,80,1405.0
2026,Iowa,24.51,1,82,1234.0
2026,Saint Mary's,23.56,1,83,1388.0
2026,DePaul,23.36,3,84,1177.0
2026,Boise State,23.18,1,85,1129.0
2026,UTEP,23.12,2,86,1431.0
2026,SMU,22.84,1,87,1374.0
2026,Siena,22.52,2,88,1373.0
2026,UCLA,22.29,1,89,1417.0
2026,Stetson,22.04,1,90,1391.0
2026,Harvard,21.6,1,91,1217.0
2026,High Point,21.56,1,92,1219.0
2026,Seton Hall,21.56,1,93,1371.0
2026,UNC Greensboro,21.51,1,94,1422.0
2026,Saint Louis,21.32,1,95,1387.0
2026,UTSA,21.09,1,96,1427.0
2026,Memphis,21.05,1,97,1272.0
2026,TCU,21.0,2,98,1395.0
2026,Oregon State,20.97,1,99,1333.0
2026,Hofstra,20.93,1,100,1220.0
2026,San Jose State,20.67,1,101,1363.0
2026,California,20.65,1,102,1143.0
2026,Arizona State,20.45,1,103,1113.0
2026,Pacific,20.43,2,104,1334.0
2026,Rutgers,20.38,1,105,1353.0
2026,Wisconsin,20.34,2,106,1458.0
2026,Auburn,20.1,1,107,1120.0
2026,Rice,20.08,1,108,1349.0
2026,Belmont,19.92,1,109,1125.0
2026,Temple,19.85,1,110,1396.0
2026,Northern Iowa,19.8,2,111,1320.0
2026,Penn State,19.69,1,112,1336.0
2026,UMass Lowell,19.69,1,113,1262.0
2026,Dayton,19.66,1,114,1173.0
2026,Sacramento State,19.6,1,115,1170.0
2026,Towson,19.58,3,116,1406.0
2026,San Diego State,19.5,1,117,1361.0
2026,Utah,19.47,3,118,1428.0
2026,Washington State,19.45,1,119,1450.0
2026,Illinois-Chicago,19.1,1,120,1227.0
2026,Arkansas State,19.06,3,121,1117.0
2026,Western Michigan,18.98,1,122,1444.0
2026,Saint Joseph's,18.74,1,123,1386.0
2026,Kent State,18.44,1,124,1245.0
2026,Oral Roberts,17.5,1,125,1331.0
2026,South Dakota,16.5,1,126,1377.0
2026,Long Beach State,16.11,1,127,1253.0
2026,Richmond,16.0,2,128,1350.0
2026,Murray State,16.0,1,128,1293.0
2026,UC Santa Barbara,16.0,1,128,1364.0
2026,Tulsa,15.0,1,131,1409.0
2026,Seattle,15.0,1,131,1370.0
2026,Albany,15.0,1,131,1107.0
2026,Lipscomb,14.5,1,134,1252.0
2026,Bowling Green,14.0,1,135,1132.0
2026,La Salle,14.0,2,135,1247.0
2026,Pepperdine,14.0,1,135,1337.0
2026,Boston University,14.0,1,135,1131.0
2026,Evansville,13.0,1,139,1191.0
2026,Furman,13.0,1,139,1202.0
2026,Alcorn State,12.0,1,141,1108.0
2026,Wyoming,12.0,2,141,1461.0
2026,Columbia,12.0,1,141,1162.0
2026,SIU Edwardsville,11.0,1,144,1188.0
2026,Sam Houston,11.0,1,144,1358.0
2026,Coastal Carolina,11.0,1,144,1157.0
2026,Texas A&M Corpus Christi,10.0,3,147,1394.0
